customerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,2020-01-01,No,Month-to-month,Yes,Electronic check,29.85,31.04
5575-GNVDE,2017-04-01,No,One year,No,Mailed check,56.95,2071.84
3668-QPYBK,2019-10-01,No,Month-to-month,Yes,Mailed check,53.85,226.17
7795-CFOCW,2016-05-01,No,One year,No,Bank transfer (automatic),42.3,1960.6
9237-HQITU,2019-09-01,No,Month-to-month,Yes,Electronic check,70.7,353.5
9305-CDSKC,2019-03-01,No,Month-to-month,Yes,Electronic check,99.65,1150.96
1452-KIOVK,2018-04-01,No,Month-to-month,Yes,Credit card (automatic),89.1,2058.21
6713-OKOMC,2019-04-01,No,Month-to-month,No,Mailed check,29.75,300.48
7892-POOKP,2017-07-01,No,Month-to-month,Yes,Electronic check,104.8,3573.68
6388-TABGU,2014-12-01,2017-05-01,One year,No,Bank transfer (automatic),56.15,1628.35
9763-GRSKD,2019-01-01,No,Month-to-month,Yes,Mailed check,49.95,649.35
7469-LKBCI,2018-10-01,No,Two year,No,Credit card (automatic),18.95,312.3
8091-TTVAX,2015-04-01,No,One year,No,Credit card (automatic),100.35,6111.31
0280-XJGEX,2015-09-01,No,Month-to-month,Yes,Bank transfer (automatic),103.7,5496.1
5129-JLPIS,2018-01-01,No,Month-to-month,Yes,Electronic check,105.5,2637.5
3655-SNQYZ,2014-05-01,2016-03-01,Two year,No,Credit card (automatic),113.25,2491.5
8191-XWSZG,2015-10-01,No,One year,No,Mailed check,20.65,1106.01
9959-WOFKT,2014-03-01,No,Two year,No,Bank transfer (automatic),106.7,8257.51
4190-MFLUW,2019-01-01,No,Month-to-month,No,Credit card (automatic),55.2,789.36
4183-MYFRB,2018-05-01,No,Month-to-month,Yes,Electronic check,90.05,1891.05
8779-QRDMV,2019-11-01,No,Month-to-month,Yes,Electronic check,39.65,118.95
1680-VDCWW,2019-02-01,No,One year,No,Bank transfer (automatic),19.8,237.6
1066-JKSGK,2019-11-01,No,Month-to-month,No,Mailed check,20.15,61.05
3638-WEABW,2015-04-01,No,Two year,Yes,Credit card (automatic),59.9,3821.62
6322-HRPFA,2016-01-01,No,Month-to-month,No,Credit card (automatic),59.6,3212.44
6865-JZNKO,2017-08-01,2018-09-01,Month-to-month,Yes,Bank transfer (automatic),55.3,726.09
6467-CHFZW,2015-12-01,No,Month-to-month,Yes,Electronic check,99.35,5215.88
8665-UTDHZ,2019-11-01,No,Month-to-month,No,Electronic check,30.2,96.04
5248-YGIJN,2014-02-01,No,Two year,Yes,Credit card (automatic),90.25,6498.0
8773-HHUOZ,2018-06-01,No,Month-to-month,Yes,Mailed check,64.7,1294.0
3841-NFECX,2014-03-01,2018-11-01,Two year,Yes,Credit card (automatic),96.35,5395.6
4929-XIHVW,2019-12-01,No,Month-to-month,Yes,Credit card (automatic),95.5,194.82
6827-IEAUQ,2017-11-01,No,One year,No,Mailed check,66.15,1928.93
7310-EGVHZ,2020-01-01,No,Month-to-month,No,Bank transfer (automatic),20.2,22.22
3413-BMNZE,2020-01-01,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25
6234-RAAPL,2014-02-01,2018-12-01,Two year,No,Bank transfer (automatic),99.9,5794.2
6047-YHPVI,2019-06-01,No,Month-to-month,Yes,Electronic check,69.7,557.6
6572-ADKRS,2016-04-01,No,Month-to-month,Yes,Credit card (automatic),74.8,3440.8
5380-WJKOV,2017-02-01,No,Month-to-month,Yes,Electronic check,106.35,4211.46
8168-UQWWF,2018-12-01,No,Month-to-month,Yes,Bank transfer (automatic),97.85,1369.9
8865-TNMNX,2019-04-01,No,One year,No,Mailed check,49.55,495.5
9489-DEDVP,2014-04-01,2019-08-01,Two year,Yes,Credit card (automatic),69.2,4428.8
9867-JCZSP,2018-09-01,No,One year,No,Mailed check,20.75,352.75
4671-VJLCL,2014-11-01,No,Two year,Yes,Credit card (automatic),79.85,5030.55
4080-IIARD,2019-01-01,No,Month-to-month,Yes,Electronic check,76.2,990.6
3714-NTNFO,2016-01-01,No,Month-to-month,Yes,Electronic check,84.5,4140.5
5948-UJZLF,2019-12-01,No,Month-to-month,No,Mailed check,49.25,98.5
7760-OYPDY,2019-11-01,No,Month-to-month,Yes,Electronic check,80.65,241.95
7639-LIAYI,2015-10-01,No,Two year,Yes,Credit card (automatic),79.75,4395.82
